lat,lon,reviews
40.68607,-73.98074,250
40.70499,-73.90128,3
40.74506,-73.91251,262
40.69445,-73.96546,2
40.66587,-73.98518,5
40.6605,-73.98332,32
40.66272,-73.98913,22
40.73112,-74.00292,1
40.78105,-73.97858,100
40.67322,-73.88109,66
40.66902,-73.98884,24
40.72843,-73.98014,4
40.65712,-73.96105,148
40.71559,-73.94289,9
40.66943,-73.98188,3
40.74567,-73.99991,11
40.78935,-73.97225,38
40.81081,-73.9237,23
40.68884,-73.9644,30
40.64885,-73.97453,125
40.66167,-73.96152,27
40.73249053955078,-73.99999237060547,115
40.70209,-73.91476,36
40.82335,-73.95322,270
40.72057081537138,-73.96010448151357,44
40.70873,-73.91732,155
40.68955,-73.96681,2
40.70977,-73.95917,20
40.66051,-73.95078,19
40.7769,-73.97671,137
40.6882557,-73.9638332,567
40.71776,-73.98486,16
40.81669,-73.94267,3
40.866226,-73.919085,11
40.86909,-73.9239,167
40.74812,-73.99603,21
40.73491,-74.0058,448
40.73143,-74.00105,6
40.85209,-73.93941,1
40.72899,-73.98975,231
40.72594,-73.98219,5
40.66014,-73.98311,7
40.76719,-73.95303,23
40.81431,-73.94788,10
40.72371,-73.99663,87
40.68905,-73.9541,2
40.79903,-73.96297,12
40.71116,-73.94721,221
40.68928,-73.93908,295
40.71937,-73.98387,39
40.73054,-74.00613,227
40.71569,-73.93716,5
40.71051,-74.01724,8
40.74734,-73.9931,15
40.67808,-73.9573,18
40.67382,-73.94012,257
40.81711,-73.94736,311
40.82193,-73.94175,21
40.822964,-73.942474,64
40.72378,-73.947,24
40.72369,-73.97849,138
40.7359,-74.00128,27
40.68257,-73.93713,1
40.72583,-73.97819,138
40.68497,-73.97644,27
40.76119,-73.99225,24
40.67432,-73.94744,130
40.72254,-74.01074,2
40.68308,-73.94403,3
40.8239,-73.94242,669
40.6748,-74.00032,1
40.68687,-73.97074,72
40.74709,-73.92056,4
40.68476,-73.94867,31
40.61211,-74.03451,3
40.68739,-73.9897,4
40.67379,-73.96623,229
40.67219,-73.97672,58
40.75347,-73.89145,234
40.68634,-73.95055,58
40.82274,-73.95408,8
40.7967,-73.97201,4
40.73209,-73.95861,26
40.69174,-73.92276,26
40.71583,-73.96277,34
40.72326,-73.97969,3
40.71099,-73.95217,1
40.60402,-73.97038,111
40.80682,-73.94814,59
40.72428,-73.99579,156
40.71493,-74.00698,60
40.77287,-73.94667,10
40.73216,-74.00521,5
40.74109,-73.92398,30
40.67636,-73.98098,9
40.68278,-73.93863,20
40.78186,-73.97849,11
40.66609,-73.98472,17
40.7149363238612,-73.96085072130779,263
40.70528,-73.95756,1
40.76114,-73.99369,86
40.79046,-73.94576,258
40.77469,-73.98069,111
40.67493,-73.96398,7
40.82875,-73.93969,31
40.81695,-73.94723,360
40.71108,-73.93717,15
40.65724,-73.99919,9
40.67942,-73.97252,101
40.68441,-73.98405,2
40.72162,-73.95114,46
40.68098,-73.96604,6
40.74051,-74.00029,6
40.78375,-73.97741,82
40.72516,-73.95004,50
40.78615,-73.97454,22
40.78552,-73.97435,23
40.76797,-73.91625,77
40.67924,-73.96445,13
40.80272,-73.95618,6
40.71424,-73.94267,13
40.77416,-73.98591,44
40.67512,-73.95972,4
40.50863,-74.24135,106
40.7947,-73.93209,128
40.71751,-74.00392,10
40.7335,-73.98704,1
40.73298,-74.00238,235
40.79995346069336,-73.96089172363281,74
40.73737,-73.95354,123
40.73141,-73.98492,12
40.69266,-73.90362,124
40.72734,-74.00094,16
40.75598,-73.91651,16
40.73171,-73.98615,96
40.68023419130707,-73.93856346191183,224
40.68524,-73.93604,273
40.68308,-73.92416,3
40.76042,-73.9975,11
40.67677,-73.96283,209
40.78279,-73.97317,8
40.63139,-74.08169,24
40.76277923583984,-73.9910888671875,481
40.75608,-73.91768,130
40.7454,-73.9831,41
40.71406,-73.96749,8
40.7299,-73.98473,11
40.72493743896485,-73.9961929321289,107
40.7588,-73.92815,13
40.70237,-73.92643,10
40.73464,-74.00349,1
40.8666,-73.85532,49
40.76592,-73.92707,129
40.68178,-73.96471,144
40.67574,-73.95434,1
40.68731,-74.0004,13
40.7334228896557,-73.9855102558238,245
40.69958,-73.90251,31
40.78938,-73.96796,98
40.77493,-73.98732,59
40.75844,-73.98819,16
40.72771,-73.98172,6
40.71084,-73.96205,165
40.71879,-73.99176,138
40.74075,-74.00102,17
40.70024,-73.92833,82
40.78349,-73.98221,19
40.7988,-73.96113,21
40.70499,-73.93315,2
40.7565,-73.7616,84
40.69619,-73.98324,89
40.7202,-73.95489,4
40.68956,-73.9189,72
40.67646,-73.97875,20
40.73523,-74.00341,6
40.71809,-73.99453,32
40.71028,-73.91649,1
40.68085931662058,-73.95412312235507,1
40.65043,-74.00387,46
40.74793,-73.97887,38
40.74793,-73.97887,28
40.75804,-73.89447,309
